year_week,oth_red
2020-07,1.1342500000000002
2020-08,1.049292857142857
2020-09,0.7240785714285715
2020-10,0.644892857142857
2020-11,0.16202500000000003
2020-12,0.04228214285714286
2020-13,0.027950000000000006
2020-14,0.024803571428571432
2020-15,0.03499642857142856
2020-16,0.03516785714285713
2020-17,0.04265357142857142
2020-18,0.05829642857142858
2020-19,0.1640857142857143
2020-20,0.17723214285714287
2020-21,0.3421357142857144
2020-22,0.39740000000000003
2020-23,0.45248928571428565
2020-24,0.514425
2020-25,0.595225
2020-26,0.6426071428571429
2020-27,0.6682571428571429
2020-28,0.7046749999999999
2020-29,0.7365392857142857
2020-30,0.7429571428571429
2020-31,0.7545928571428571
2020-32,0.8002785714285714
2020-33,0.7707714285714286
2020-34,0.76755
2020-35,0.7252928571428571
2020-36,0.7616035714285714
2020-37,0.7940107142857142
2020-38,0.8283571428571429
2020-39,0.7414464285714286
2020-40,0.7722357142857142
2020-41,0.7503892857142859
2020-42,0.6882178571428571
2020-43,0.61625
2020-44,0.5101249999999999
2020-45,0.41148214285714285
2020-46,0.3174571428571428
2020-47,0.27612857142857145
2020-48,0.3085964285714286
2020-49,0.32746071428571427
2020-50,0.39468214285714287
2020-51,0.5261035714285714
2020-52,0.34072857142857144
2020-53,0.22506785714285718
2021-01,0.28645714285714285
2021-02,0.3408678571428571
2021-03,0.28843571428571435
2021-04,0.3441142857142857
2021-05,0.41796071428571435
2021-06,0.4228678571428572
2021-07,0.44897
